my,13478300,01
re,4121100,01
lex,3944300,01
smc,68889600,01
smc_2,240135300,01
my,250289100,02
re,1658800,02
lex,3271200,02
smc,24507100,02
smc_2,143050500,02
my,153197300,03
re,1565400,03
lex,3652000,03
smc,25355300,03
smc_2,176536100,03
my,189791200,04
re,2393700,04
lex,4822800,04
smc,32145500,04
smc_2,170346000,04
my,213818100,11
re,1656200,11
lex,5592700,11
smc,34593100,11
smc_2,583793600,11
my,633238300,12
re,2387500,12
lex,4072200,12
smc,38744400,12
smc_2,575480900,12
my,628937400,13
re,1599100,13
lex,3837500,13
smc,55072000,13
smc_2,775124000,13
my,838813500,14
re,1704500,14
lex,4490800,14
smc,69845300,14
smc_2,827082600,14
my,1091132200,all
re,12635100,all
lex,26688300,all
smc,314909900,all
smc_2,3480692200,all
